学号,证书名称,证书编号,获得日期,状态,审核人,审核意见
202300034,机动车驾驶证（C1）,3706535260,2023-03-04,通过,李文静,佐证材料完整，予以通过
202300034,全国计算机等级考试二级证书,634712165,2025-07-12,通过,李文静,佐证材料完整，予以通过
202300035,大学英语四级证书,7100510990,2025-05-10,通过,李文静,佐证材料完整，予以通过
202300035,普通话水平测试二级甲等证书,372648070,2025-03-18,通过,李文静,符合认定条件，通过
202300036,大学英语六级证书,6400379249,2023-08-04,通过,李文静,佐证材料完整，予以通过
202300036,机动车驾驶证（C1）,3706328978,2025-04-21,通过,李文静,佐证材料完整，予以通过
202300037,机动车驾驶证（C1）,3706861431,2025-09-05,通过,李文静,佐证材料完整，予以通过
202300037,AutoCAD 机械设计工程师认证,CAD315475,2026-02-13,通过,李文静,符合认定条件，通过
202300038,机动车驾驶证（C1）,3706825848,2024-01-14,通过,李文静,符合认定条件，通过
202300038,普通话水平测试二级甲等证书,377599628,2023-04-19,通过,李文静,佐证材料完整，予以通过
202300039,大学英语六级证书,6400644223,2024-11-28,通过,李文静,材料齐全，同意认定
202300039,AutoCAD 机械设计工程师认证,CAD238430,2024-09-16,待审核,,
202300040,普通话水平测试二级甲等证书,377192677,2025-02-22,通过,李文静,佐证材料完整，予以通过
202300040,大学英语四级证书,7100670198,2024-04-09,通过,李文静,符合认定条件，通过
202300041,普通话水平测试二级甲等证书,376976702,2026-07-15,通过,李文静,符合认定条件，通过
202300041,大学英语六级证书,6400798559,2023-09-21,通过,李文静,材料齐全，同意认定
202300042,普通话水平测试二级甲等证书,375478430,2024-09-20,通过,李文静,佐证材料完整，予以通过
202300042,大学英语六级证书,6400969385,2024-10-23,通过,李文静,佐证材料完整，予以通过
202300043,大学英语六级证书,6400988401,2026-08-18,通过,李文静,符合认定条件，通过
202300043,普通话水平测试二级甲等证书,377621273,2023-07-26,通过,李文静,佐证材料完整，予以通过
202300044,全国计算机等级考试二级证书,537267960,2024-10-20,通过,李文静,佐证材料完整，予以通过
202300044,大学英语四级证书,7100331148,2026-04-14,通过,李文静,材料齐全，同意认定
202300045,机动车驾驶证（C1）,3706269335,2026-06-26,通过,李文静,材料齐全，同意认定
202300045,大学英语六级证书,6400545221,2025-03-25,通过,李文静,材料齐全，同意认定
202300046,普通话水平测试二级甲等证书,374395714,2023-09-05,通过,李文静,材料齐全，同意认定
202300046,AutoCAD 机械设计工程师认证,CAD346353,2025-02-25,通过,李文静,材料齐全，同意认定
202300047,全国计算机等级考试二级证书,557793271,2026-04-10,通过,李文静,材料齐全，同意认定
202300047,普通话水平测试二级甲等证书,374894757,2023-07-14,通过,李文静,佐证材料完整，予以通过
202300048,全国计算机等级考试二级证书,516388628,2023-10-02,通过,李文静,佐证材料完整，予以通过
202300048,大学英语六级证书,6400465647,2023-04-24,通过,李文静,材料齐全，同意认定
202300049,普通话水平测试二级甲等证书,372621083,2024-03-27,通过,李文静,佐证材料完整，予以通过
202300049,大学英语六级证书,6400620738,2025-05-22,待审核,,
202300050,机动车驾驶证（C1）,3706866830,2023-11-24,通过,李文静,佐证材料完整，予以通过
202300050,大学英语四级证书,7100776836,2026-02-22,通过,李文静,佐证材料完整，予以通过
202300051,大学英语四级证书,7100467133,2026-05-07,通过,李文静,符合认定条件，通过
202300051,普通话水平测试二级甲等证书,375698477,2025-06-14,待审核,,
202300052,全国计算机等级考试二级证书,547099214,2024-10-06,通过,李文静,佐证材料完整，予以通过
202300052,大学英语六级证书,6400791959,2026-03-26,通过,李文静,佐证材料完整，予以通过
202300053,大学英语四级证书,7100822514,2024-10-05,通过,李文静,符合认定条件，通过
202300053,普通话水平测试二级甲等证书,372979426,2026-07-08,通过,李文静,佐证材料完整，予以通过
202300054,大学英语四级证书,7100379605,2026-05-17,待审核,,
202300054,AutoCAD 机械设计工程师认证,CAD541124,2024-10-10,通过,李文静,符合认定条件，通过
202300055,机动车驾驶证（C1）,3706942316,2024-04-24,通过,李文静,佐证材料完整，予以通过
202300055,AutoCAD 机械设计工程师认证,CAD901732,2023-08-18,通过,李文静,佐证材料完整，予以通过
202300056,大学英语六级证书,6400564498,2024-07-08,通过,李文静,佐证材料完整，予以通过
202300056,大学英语六级证书,6400423538,2026-01-24,通过,李文静,符合认定条件，通过
202300057,全国计算机等级考试二级证书,573847746,2023-12-24,通过,李文静,佐证材料完整，予以通过
202300057,大学英语六级证书,6400781563,2026-02-17,通过,李文静,符合认定条件，通过
202300058,机动车驾驶证（C1）,3706586992,2025-06-27,通过,李文静,符合认定条件，通过
202300058,机动车驾驶证（C1）,3706410065,2023-03-17,待审核,,
202300059,机动车驾驶证（C1）,3706915045,2026-06-06,待审核,,
202300059,普通话水平测试二级甲等证书,372854808,2024-03-02,待审核,,
202300060,机动车驾驶证（C1）,3706949411,2024-04-16,通过,李文静,材料齐全，同意认定
202300060,机动车驾驶证（C1）,3706326721,2024-08-28,通过,李文静,佐证材料完整，予以通过
202300061,大学英语六级证书,6400505718,2023-08-06,通过,李文静,符合认定条件，通过
202300061,大学英语四级证书,7100283536,2026-05-13,公示中,李文静,符合认定条件，通过
202300062,AutoCAD 机械设计工程师认证,CAD453687,2023-11-17,通过,李文静,符合认定条件，通过
202300062,机动车驾驶证（C1）,3706103726,2024-04-19,通过,李文静,材料齐全，同意认定
202300063,AutoCAD 机械设计工程师认证,CAD275962,2023-02-05,通过,李文静,材料齐全，同意认定
202300063,AutoCAD 机械设计工程师认证,CAD385562,2025-04-15,通过,李文静,符合认定条件，通过
202300064,大学英语四级证书,7100268044,2026-04-08,通过,李文静,材料齐全，同意认定
202300064,全国计算机等级考试二级证书,564978182,2024-05-22,通过,李文静,材料齐全，同意认定
202300065,大学英语六级证书,6400524377,2024-12-23,待审核,,
202300065,全国计算机等级考试二级证书,592157731,2025-12-20,待审核,,
202300066,全国计算机等级考试二级证书,536677274,2025-11-01,通过,李文静,佐证材料完整，予以通过
202300066,普通话水平测试二级甲等证书,373553775,2025-05-25,通过,李文静,佐证材料完整，予以通过
202300067,机动车驾驶证（C1）,3706594429,2023-04-02,通过,李文静,佐证材料完整，予以通过
202300067,全国计算机等级考试二级证书,588342862,2024-05-25,通过,李文静,符合认定条件，通过
202300068,大学英语四级证书,7100671247,2025-12-03,通过,李文静,符合认定条件，通过
202300068,大学英语六级证书,6400497906,2026-05-26,通过,李文静,符合认定条件，通过
202300069,机动车驾驶证（C1）,3706908369,2024-03-23,通过,李文静,符合认定条件，通过
202300069,机动车驾驶证（C1）,3706436494,2023-03-09,待审核,,
202300070,机动车驾驶证（C1）,3706689376,2025-06-25,通过,李文静,符合认定条件，通过
202300070,普通话水平测试二级甲等证书,375270168,2025-12-20,公示中,李文静,佐证材料完整，予以通过
202300071,普通话水平测试二级甲等证书,379243521,2023-06-16,通过,李文静,材料齐全，同意认定
202300071,大学英语四级证书,7100718535,2026-08-21,通过,李文静,佐证材料完整，予以通过
202300072,全国计算机等级考试二级证书,535973589,2025-01-08,通过,李文静,佐证材料完整，予以通过
202300072,AutoCAD 机械设计工程师认证,CAD134622,2023-08-23,通过,李文静,材料齐全，同意认定
202300073,大学英语四级证书,7100170309,2023-09-15,通过,李文静,符合认定条件，通过
202300073,大学英语四级证书,7100337342,2024-08-26,通过,李文静,佐证材料完整，予以通过
202300074,大学英语六级证书,6400241790,2026-04-02,通过,李文静,材料齐全，同意认定
202300074,大学英语四级证书,7100452219,2025-08-24,通过,李文静,符合认定条件，通过
202300075,AutoCAD 机械设计工程师认证,CAD182022,2024-09-14,通过,李文静,佐证材料完整，予以通过
202300075,机动车驾驶证（C1）,3706250269,2026-03-17,待审核,,
202300076,大学英语四级证书,7100696352,2026-05-11,通过,李文静,佐证材料完整，予以通过
202300076,全国计算机等级考试二级证书,569534977,2024-11-24,公示中,李文静,佐证材料完整，予以通过
202300077,AutoCAD 机械设计工程师认证,CAD547874,2024-08-09,通过,李文静,符合认定条件，通过
202300077,大学英语四级证书,7100243609,2024-07-12,通过,李文静,材料齐全，同意认定
202300078,普通话水平测试二级甲等证书,373666876,2026-04-24,待审核,,
202300078,AutoCAD 机械设计工程师认证,CAD613527,2025-06-10,通过,李文静,材料齐全，同意认定
202300079,普通话水平测试二级甲等证书,377564412,2025-03-21,通过,李文静,符合认定条件，通过
202300079,大学英语四级证书,7100874500,2024-03-15,通过,李文静,佐证材料完整，予以通过
202300080,全国计算机等级考试二级证书,601968661,2025-11-14,通过,李文静,符合认定条件，通过
202300080,大学英语六级证书,6400609444,2023-07-01,待审核,,
202300081,大学英语六级证书,6400334164,2026-02-20,待审核,,
202300081,普通话水平测试二级甲等证书,373739040,2024-06-27,通过,李文静,材料齐全，同意认定
202300082,AutoCAD 机械设计工程师认证,CAD293865,2023-12-16,公示中,李文静,佐证材料完整，予以通过
202300082,机动车驾驶证（C1）,3706562835,2023-08-17,通过,李文静,佐证材料完整，予以通过
202300083,AutoCAD 机械设计工程师认证,CAD253041,2025-11-05,通过,李文静,佐证材料完整，予以通过
202300083,大学英语六级证书,6400291197,2024-01-01,待审核,,
202300084,大学英语六级证书,6400771744,2025-12-04,通过,李文静,符合认定条件，通过
202300084,大学英语六级证书,6400816758,2025-10-22,通过,李文静,材料齐全，同意认定
202300085,机动车驾驶证（C1）,3706176076,2023-10-03,通过,李文静,符合认定条件，通过
202300085,大学英语六级证书,6400674020,2025-04-12,通过,李文静,材料齐全，同意认定
202300086,大学英语四级证书,7100136016,2023-01-06,通过,李文静,材料齐全，同意认定
202300086,大学英语四级证书,7100230149,2024-10-05,通过,李文静,材料齐全，同意认定
202300087,机动车驾驶证（C1）,3706774075,2025-10-25,公示中,李文静,佐证材料完整，予以通过
202300087,AutoCAD 机械设计工程师认证,CAD421278,2026-08-23,待审核,,
202300088,大学英语六级证书,6400763259,2024-07-10,通过,李文静,材料齐全，同意认定
202300088,大学英语六级证书,6400621462,2024-12-26,通过,李文静,材料齐全，同意认定
202300089,机动车驾驶证（C1）,3706457354,2025-04-17,通过,李文静,材料齐全，同意认定
202300089,大学英语六级证书,6400545630,2024-12-21,通过,李文静,材料齐全，同意认定
202300090,AutoCAD 机械设计工程师认证,CAD368833,2023-06-02,通过,李文静,符合认定条件，通过
202300090,AutoCAD 机械设计工程师认证,CAD624481,2023-03-18,通过,李文静,符合认定条件，通过
202300091,AutoCAD 机械设计工程师认证,CAD841266,2026-01-21,通过,李文静,佐证材料完整，予以通过
202300091,普通话水平测试二级甲等证书,370186835,2024-09-17,通过,李文静,符合认定条件，通过
202300092,机动车驾驶证（C1）,3706426911,2024-01-12,通过,李文静,符合认定条件，通过
202300092,普通话水平测试二级甲等证书,375576351,2024-08-26,通过,李文静,材料齐全，同意认定
202300093,普通话水平测试二级甲等证书,372212651,2023-08-19,通过,李文静,材料齐全，同意认定
202300093,全国计算机等级考试二级证书,514677745,2026-08-02,通过,李文静,符合认定条件，通过
202300094,普通话水平测试二级甲等证书,375990541,2025-07-17,通过,李文静,材料齐全，同意认定
202300094,大学英语六级证书,6400235064,2025-07-11,通过,李文静,佐证材料完整，予以通过
202300095,机动车驾驶证（C1）,3706258087,2025-07-01,通过,李文静,符合认定条件，通过
202300095,全国计算机等级考试二级证书,532376804,2023-08-20,通过,李文静,佐证材料完整，予以通过
202300096,AutoCAD 机械设计工程师认证,CAD296782,2025-06-18,通过,李文静,符合认定条件，通过
202300096,大学英语四级证书,7100167944,2025-12-09,待审核,,
202300097,机动车驾驶证（C1）,3706406087,2023-03-21,通过,李文静,佐证材料完整，予以通过
202300097,大学英语四级证书,7100560232,2026-01-17,通过,李文静,佐证材料完整，予以通过
202300098,全国计算机等级考试二级证书,622652290,2023-04-14,通过,李文静,佐证材料完整，予以通过
202300098,大学英语六级证书,6400235685,2024-06-11,通过,李文静,材料齐全，同意认定
202300099,AutoCAD 机械设计工程师认证,CAD323241,2026-04-19,通过,李文静,材料齐全，同意认定
202300099,普通话水平测试二级甲等证书,376638008,2025-01-05,通过,李文静,佐证材料完整，予以通过
202300100,全国计算机等级考试二级证书,578826922,2024-06-14,通过,李文静,佐证材料完整，予以通过
202300100,机动车驾驶证（C1）,3706667712,2024-08-12,待审核,,
202300101,大学英语四级证书,7100687818,2024-06-03,通过,李文静,佐证材料完整，予以通过
202300101,AutoCAD 机械设计工程师认证,CAD371921,2024-04-10,通过,李文静,佐证材料完整，予以通过
202300102,AutoCAD 机械设计工程师认证,CAD475018,2025-03-07,通过,李文静,符合认定条件，通过
202300102,AutoCAD 机械设计工程师认证,CAD708971,2026-02-05,待审核,,
202300103,机动车驾驶证（C1）,3706650898,2025-09-22,待审核,,
202300103,大学英语四级证书,7100703620,2023-02-20,通过,李文静,佐证材料完整，予以通过
202300104,机动车驾驶证（C1）,3706240242,2026-03-04,通过,李文静,材料齐全，同意认定
202300104,普通话水平测试二级甲等证书,370122987,2026-06-06,通过,李文静,佐证材料完整，予以通过
202300105,大学英语四级证书,7100514388,2024-02-05,通过,李文静,材料齐全，同意认定
202300105,普通话水平测试二级甲等证书,372523002,2026-08-25,待审核,,
202300106,大学英语六级证书,6400294645,2026-05-14,通过,李文静,佐证材料完整，予以通过
202300106,大学英语六级证书,6400542085,2026-08-05,通过,李文静,材料齐全，同意认定
202300107,大学英语四级证书,7100397937,2025-02-02,通过,李文静,佐证材料完整，予以通过
202300107,大学英语六级证书,6400728635,2025-09-25,通过,李文静,佐证材料完整，予以通过
202300108,大学英语四级证书,7100576905,2023-02-16,通过,李文静,佐证材料完整，予以通过
202300108,AutoCAD 机械设计工程师认证,CAD276266,2026-06-12,公示中,李文静,佐证材料完整，予以通过
202300109,大学英语四级证书,7100581989,2023-10-11,通过,李文静,符合认定条件，通过
202300109,大学英语六级证书,6400840174,2026-08-17,通过,李文静,符合认定条件，通过
202300110,大学英语四级证书,7100176361,2026-03-19,通过,李文静,佐证材料完整，予以通过
202300110,AutoCAD 机械设计工程师认证,CAD901934,2024-05-20,通过,李文静,符合认定条件，通过
202300111,普通话水平测试二级甲等证书,379256728,2025-03-23,通过,李文静,佐证材料完整，予以通过
202300111,AutoCAD 机械设计工程师认证,CAD610129,2023-09-18,待审核,,
202300112,机动车驾驶证（C1）,3706630876,2025-07-05,通过,李文静,材料齐全，同意认定
202300112,大学英语六级证书,6400596004,2025-11-15,待审核,,
202300113,大学英语四级证书,7100681898,2024-02-16,公示中,李文静,材料齐全，同意认定
202300113,大学英语四级证书,7100154889,2023-05-02,通过,李文静,佐证材料完整，予以通过
202300114,全国计算机等级考试二级证书,583889190,2024-09-19,通过,李文静,佐证材料完整，予以通过
202300114,AutoCAD 机械设计工程师认证,CAD197339,2023-06-22,通过,李文静,符合认定条件，通过
202300115,全国计算机等级考试二级证书,511044947,2026-07-17,通过,李文静,材料齐全，同意认定
202300115,大学英语四级证书,7100587542,2024-08-19,通过,李文静,佐证材料完整，予以通过
202300116,普通话水平测试二级甲等证书,378754054,2024-04-04,通过,李文静,符合认定条件，通过
202300116,AutoCAD 机械设计工程师认证,CAD210355,2024-09-03,通过,李文静,佐证材料完整，予以通过
202300117,普通话水平测试二级甲等证书,375635877,2026-06-22,通过,李文静,符合认定条件，通过
202300117,机动车驾驶证（C1）,3706775536,2024-06-03,通过,李文静,符合认定条件，通过
202300118,AutoCAD 机械设计工程师认证,CAD623636,2023-07-05,通过,李文静,材料齐全，同意认定
202300118,大学英语六级证书,6400450819,2023-10-26,通过,李文静,佐证材料完整，予以通过
202300119,普通话水平测试二级甲等证书,375164925,2023-11-24,通过,李文静,材料齐全，同意认定
202300119,机动车驾驶证（C1）,3706967849,2026-01-24,待审核,,
202300120,AutoCAD 机械设计工程师认证,CAD245561,2026-04-28,通过,李文静,佐证材料完整，予以通过
202300120,AutoCAD 机械设计工程师认证,CAD360357,2026-05-18,待审核,,
202300121,AutoCAD 机械设计工程师认证,CAD237707,2024-03-09,通过,李文静,符合认定条件，通过
202300121,全国计算机等级考试二级证书,524239648,2024-02-27,通过,李文静,佐证材料完整，予以通过
202300122,机动车驾驶证（C1）,3706993608,2023-07-10,待审核,,
202300122,大学英语四级证书,7100490215,2024-05-18,通过,李文静,佐证材料完整，予以通过
202300123,机动车驾驶证（C1）,3706336623,2025-03-01,通过,李文静,佐证材料完整，予以通过
202300123,普通话水平测试二级甲等证书,377315843,2026-08-16,通过,李文静,佐证材料完整，予以通过
202300124,AutoCAD 机械设计工程师认证,CAD268208,2024-09-15,通过,李文静,符合认定条件，通过
202300124,机动车驾驶证（C1）,3706340384,2026-08-05,通过,李文静,符合认定条件，通过
202300125,AutoCAD 机械设计工程师认证,CAD122366,2023-11-23,通过,李文静,材料齐全，同意认定
202300125,机动车驾驶证（C1）,3706357942,2025-08-19,通过,李文静,材料齐全，同意认定
202300126,大学英语四级证书,7100371855,2023-03-21,通过,李文静,材料齐全，同意认定
202300126,大学英语六级证书,6400847601,2026-04-17,通过,李文静,佐证材料完整，予以通过
202300127,AutoCAD 机械设计工程师认证,CAD294117,2024-10-16,通过,李文静,佐证材料完整，予以通过
202300127,机动车驾驶证（C1）,3706989996,2026-03-14,通过,李文静,材料齐全，同意认定
202300128,机动车驾驶证（C1）,3706640873,2023-08-24,通过,李文静,佐证材料完整，予以通过
202300128,AutoCAD 机械设计工程师认证,CAD500517,2026-07-26,通过,李文静,符合认定条件，通过
202300129,普通话水平测试二级甲等证书,370367575,2024-10-28,通过,李文静,符合认定条件，通过
202300129,AutoCAD 机械设计工程师认证,CAD350616,2026-06-11,待审核,,
202300130,大学英语六级证书,6400313626,2024-01-04,待审核,,
202300130,AutoCAD 机械设计工程师认证,CAD996828,2025-02-10,通过,李文静,佐证材料完整，予以通过
202300131,全国计算机等级考试二级证书,538697162,2024-10-14,通过,李文静,材料齐全，同意认定
202300131,全国计算机等级考试二级证书,524910352,2025-06-02,通过,李文静,佐证材料完整，予以通过
202300132,大学英语四级证书,7100694880,2023-07-20,通过,李文静,佐证材料完整，予以通过
202300132,全国计算机等级考试二级证书,628113475,2023-05-11,通过,李文静,符合认定条件，通过
202300133,普通话水平测试二级甲等证书,374285329,2025-11-20,通过,李文静,材料齐全，同意认定
202300133,全国计算机等级考试二级证书,608763069,2025-12-10,通过,李文静,符合认定条件，通过
202300134,AutoCAD 机械设计工程师认证,CAD586575,2025-05-28,通过,李文静,符合认定条件，通过
202300134,机动车驾驶证（C1）,3706904427,2024-06-12,通过,李文静,材料齐全，同意认定
202300135,AutoCAD 机械设计工程师认证,CAD569338,2025-04-20,通过,李文静,符合认定条件，通过
202300135,大学英语六级证书,6400526560,2023-06-12,通过,李文静,材料齐全，同意认定
202300136,AutoCAD 机械设计工程师认证,CAD108753,2026-08-11,待审核,,
202300136,普通话水平测试二级甲等证书,378024273,2024-03-24,通过,李文静,材料齐全，同意认定
202300137,机动车驾驶证（C1）,3706558958,2023-04-25,通过,王海燕,材料齐全，同意认定
202300137,全国计算机等级考试二级证书,515409868,2025-12-11,待审核,,
202300138,机动车驾驶证（C1）,3706118853,2026-02-01,通过,王海燕,符合认定条件，通过
202300138,大学英语四级证书,7100755233,2024-09-07,通过,王海燕,材料齐全，同意认定
202300139,大学英语六级证书,6400270015,2023-05-10,通过,王海燕,符合认定条件，通过
202300139,大学英语六级证书,6400650481,2025-07-18,通过,王海燕,材料齐全，同意认定
202300140,全国计算机等级考试二级证书,578544770,2025-09-03,通过,王海燕,符合认定条件，通过
202300140,机动车驾驶证（C1）,3706378790,2023-10-22,通过,王海燕,材料齐全，同意认定
202300141,机动车驾驶证（C1）,3706729286,2026-08-19,通过,王海燕,佐证材料完整，予以通过
202300141,大学英语四级证书,7100292915,2024-08-27,通过,王海燕,材料齐全，同意认定
202300142,大学英语六级证书,6400679569,2023-01-10,通过,王海燕,符合认定条件，通过
202300142,AutoCAD 机械设计工程师认证,CAD111386,2026-04-10,通过,王海燕,符合认定条件，通过
202300143,AutoCAD 机械设计工程师认证,CAD945733,2023-03-15,通过,王海燕,材料齐全，同意认定
202300143,AutoCAD 机械设计工程师认证,CAD867672,2023-07-23,通过,王海燕,佐证材料完整，予以通过
202300144,大学英语六级证书,6400556944,2025-08-14,通过,王海燕,符合认定条件，通过
202300144,AutoCAD 机械设计工程师认证,CAD653194,2026-04-17,通过,王海燕,佐证材料完整，予以通过
202300145,AutoCAD 机械设计工程师认证,CAD911382,2024-12-13,通过,王海燕,符合认定条件，通过
202300145,机动车驾驶证（C1）,3706596116,2023-08-13,通过,王海燕,材料齐全，同意认定
202300146,大学英语四级证书,7100244876,2024-04-07,通过,王海燕,材料齐全，同意认定
202300146,全国计算机等级考试二级证书,556796328,2023-06-19,通过,王海燕,佐证材料完整，予以通过
202300147,大学英语六级证书,6400515274,2025-12-23,通过,王海燕,符合认定条件，通过
202300147,全国计算机等级考试二级证书,611959718,2026-05-11,通过,王海燕,材料齐全，同意认定
202300148,AutoCAD 机械设计工程师认证,CAD720002,2026-03-19,通过,王海燕,佐证材料完整，予以通过
202300148,全国计算机等级考试二级证书,588010037,2026-01-01,通过,王海燕,材料齐全，同意认定
202300149,全国计算机等级考试二级证书,558609678,2026-07-22,通过,王海燕,佐证材料完整，予以通过
202300149,普通话水平测试二级甲等证书,371312137,2023-02-01,通过,王海燕,符合认定条件，通过
202300150,机动车驾驶证（C1）,3706146710,2025-01-27,通过,王海燕,符合认定条件，通过
202300150,大学英语六级证书,6400721163,2023-06-23,通过,王海燕,材料齐全，同意认定
202300151,AutoCAD 机械设计工程师认证,CAD559395,2026-02-02,通过,王海燕,佐证材料完整，予以通过
202300151,全国计算机等级考试二级证书,598551216,2026-03-04,通过,王海燕,材料齐全，同意认定
202300152,全国计算机等级考试二级证书,587068082,2024-09-15,通过,王海燕,符合认定条件，通过
202300152,机动车驾驶证（C1）,3706281005,2023-12-08,通过,王海燕,符合认定条件，通过
202300153,机动车驾驶证（C1）,3706512657,2026-02-23,通过,王海燕,佐证材料完整，予以通过
