学号,姓名,性别,民族,政治面貌,出生日期,手机,邮箱,年级,学院,专业,班级,生源地,辅导员工号
202300039,陆浩然,男,回族,共青团员,2005-02-09,19482663165,202300039@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,河南郑州,C0001
202300040,雷承宇,男,汉族,预备党员,2005-01-24,18022651669,202300040@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,山东潍坊,C0001
202300041,罗沛东,男,汉族,预备党员,2005-07-21,17729036682,202300041@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,辽宁大连,C0001
202300042,吴鸿飞,男,汉族,共青团员,2005-10-16,17056684547,202300042@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,山东淄博,C0001
202300043,郝承宇,男,汉族,共青团员,2005-04-23,19858386958,202300043@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,山东济宁,C0001
202300044,冯嘉树,男,蒙古族,预备党员,2005-06-22,13316806193,202300044@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,山东烟台,C0001
202300045,吴明哲,男,朝鲜族,共青团员,2005-07-10,13521947807,202300045@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,辽宁大连,C0001
202300046,蔡致远,男,汉族,共青团员,2005-01-27,19727191212,202300046@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,山东青岛,C0001
202300047,钟语嫣,女,汉族,群众,2005-04-15,13656476349,202300047@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,黑龙江哈尔滨,C0001
202300048,段嘉树,男,朝鲜族,预备党员,2005-11-23,13811568638,202300048@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,辽宁大连,C0001
202300049,何泽楷,男,汉族,共青团员,2005-01-28,18768969535,202300049@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,山东济南,C0001
202300050,戴芷若,女,蒙古族,共青团员,2005-03-15,19545198096,202300050@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,山东济南,C0001
202300051,贾立群,男,汉族,中共党员,2005-08-06,18109942176,202300051@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,山东青岛,C0001
202300052,石俊杰,男,汉族,共青团员,2005-06-01,18710271749,202300052@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,辽宁大连,C0001
202300053,罗梦琪,女,朝鲜族,预备党员,2005-01-28,18232744454,202300053@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,山东临沂,C0001
202300054,田云舟,男,壮族,共青团员,2005-05-03,13898230980,202300054@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,山东济南,C0001
202300055,覃云舟,男,满族,中共党员,2005-01-08,17296312356,202300055@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,黑龙江哈尔滨,C0001
202300056,崔启铭,男,汉族,共青团员,2005-08-28,19905160153,202300056@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,山东烟台,C0001
202300057,董致远,男,汉族,共青团员,2005-06-16,17484918764,202300057@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,山西太原,C0001
202300058,付嘉树,男,蒙古族,共青团员,2005-11-11,19372391100,202300058@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,山东烟台,C0001
202300059,张思颖,女,汉族,群众,2005-12-24,15354238969,202300059@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,山东淄博,C0001
202300060,曾雨泽,男,汉族,共青团员,2005-02-08,15965885631,202300060@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,山东淄博,C0001
202300061,胡博文,男,朝鲜族,群众,2005-02-24,18862000587,202300061@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,山东烟台,C0001
202300062,苏浩然,男,蒙古族,预备党员,2005-04-06,15548785171,202300062@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,山东潍坊,C0001
202300063,钱志强,男,汉族,共青团员,2005-02-12,17738061504,202300063@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,山东烟台,C0001
202300064,黄致远,男,汉族,预备党员,2005-02-07,17047719212,202300064@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,江苏徐州,C0001
202300065,闫浩然,男,壮族,共青团员,2005-06-19,19844281029,202300065@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,山西太原,C0001
202300066,黄静怡,女,汉族,预备党员,2005-02-16,18897028634,202300066@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,安徽合肥,C0001
202300067,谭鸿飞,男,朝鲜族,预备党员,2005-08-01,18271432555,202300067@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,山东青岛,C0001
202300068,谢致远,男,蒙古族,预备党员,2005-10-20,17603679445,202300068@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2302班,吉林长春,C0001
202300069,万明哲,男,壮族,共青团员,2005-05-25,13236846657,202300069@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,黑龙江哈尔滨,C0001
202300070,向语嫣,女,回族,共青团员,2005-02-01,13172295899,202300070@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,安徽合肥,C0001
202300071,闫朗峰,男,汉族,共青团员,2005-06-07,19222314929,202300071@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,河南郑州,C0001
202300072,唐明哲,男,汉族,共青团员,2005-01-05,19217796584,202300072@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,辽宁大连,C0001
202300073,张婉清,女,汉族,共青团员,2005-11-06,19106695232,202300073@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,山西太原,C0001
202300074,王启铭,男,汉族,共青团员,2005-05-01,17480707526,202300074@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,山东淄博,C0001
202300075,魏慕青,女,回族,共青团员,2005-12-28,18223677389,202300075@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,吉林长春,C0001
202300076,韩嘉树,男,汉族,共青团员,2005-08-25,19251830647,202300076@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,山东淄博,C0001
202300077,郭思远,男,壮族,中共党员,2005-07-12,19562544517,202300077@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,河南郑州,C0001
202300078,范丹妮,女,汉族,共青团员,2005-08-24,13933146144,202300078@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,安徽合肥,C0001
202300079,邓俊杰,男,汉族,中共党员,2005-07-06,13517877552,202300079@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,山东济宁,C0001
202300080,唐天佑,男,朝鲜族,共青团员,2005-03-11,15403690191,202300080@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,山东济南,C0001
202300081,江婉清,女,汉族,共青团员,2005-06-04,17836544683,202300081@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,吉林长春,C0001
202300082,石家豪,男,汉族,预备党员,2005-09-14,18094149075,202300082@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,安徽合肥,C0001
202300083,卢静姝,女,汉族,共青团员,2005-02-06,15556985620,202300083@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,山东淄博,C0001
202300084,李宇轩,男,蒙古族,中共党员,2005-02-16,13059884838,202300084@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,吉林长春,C0001
202300085,陈昊天,男,汉族,共青团员,2005-01-24,15995971978,202300085@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,山东潍坊,C0001
202300086,闫明哲,男,汉族,共青团员,2005-05-25,19527799126,202300086@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,山东潍坊,C0001
202300087,姚朗峰,男,汉族,共青团员,2005-04-20,15420437472,202300087@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,河北石家庄,C0001
202300088,董宇轩,男,汉族,群众,2005-07-18,15422420012,202300088@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,山东青岛,C0001
202300089,蒋雨桐,女,汉族,共青团员,2005-05-23,15194170118,202300089@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,山东济南,C0001
202300090,贺致远,男,汉族,中共党员,2005-05-20,17313950430,202300090@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,山东济南,C0001
202300091,付书航,男,汉族,群众,2005-07-20,18260450915,202300091@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,河南郑州,C0001
202300092,范清扬,女,壮族,中共党员,2005-01-13,17559604396,202300092@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,山东济南,C0001
202300093,董朗峰,男,回族,共青团员,2005-05-09,15309209615,202300093@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,江苏徐州,C0001
202300094,白浩然,男,汉族,共青团员,2005-02-26,13128024459,202300094@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,辽宁大连,C0001
202300095,任宗翰,男,回族,共青团员,2005-11-07,17364655873,202300095@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,江苏徐州,C0001
202300096,叶志强,男,回族,预备党员,2005-08-06,15943455297,202300096@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,辽宁大连,C0001
202300097,汤书瑶,女,满族,共青团员,2005-08-10,15885477109,202300097@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,山东济南,C0001
202300098,苏昊天,男,汉族,群众,2005-10-03,19753869515,202300098@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,山东济宁,C0001
202300099,贺宇轩,男,壮族,共青团员,2005-08-27,13401068791,202300099@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,山东潍坊,C0001
202300100,杜悦宁,女,汉族,中共党员,2005-10-15,13150608324,202300100@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,河北石家庄,C0001
202300101,孟采薇,女,壮族,共青团员,2005-09-08,17192978396,202300101@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,山东济宁,C0001
202300102,秦启铭,男,汉族,共青团员,2005-07-03,15310010278,202300102@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2303班,山东烟台,C0001
202300103,廖鸿飞,男,汉族,中共党员,2005-03-19,13081878926,202300103@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,山东潍坊,C0001
202300104,姚昊天,男,满族,共青团员,2005-10-21,19708922391,202300104@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,河南郑州,C0001
202300105,邵鸿飞,男,汉族,共青团员,2005-03-17,15187311784,202300105@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,安徽合肥,C0001
202300106,贺丹妮,女,壮族,共青团员,2005-03-21,18457409520,202300106@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,吉林长春,C0001
202300107,胡俊杰,男,朝鲜族,预备党员,2005-04-28,18683441723,202300107@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,山东济宁,C0001
202300108,潘致远,男,朝鲜族,共青团员,2005-12-08,13319362022,202300108@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,河北石家庄,C0001
202300109,张泽楷,男,汉族,共青团员,2005-03-09,13557668804,202300109@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,安徽合肥,C0001
202300110,熊雨泽,男,汉族,共青团员,2005-08-25,19898842203,202300110@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,江苏徐州,C0001
202300111,陶文博,男,汉族,共青团员,2005-11-21,15101742901,202300111@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,安徽合肥,C0001
202300112,毛紫萱,女,蒙古族,预备党员,2005-01-09,17528299643,202300112@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,山东临沂,C0001
202300113,吕若曦,女,汉族,共青团员,2005-06-25,19802483952,202300113@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,辽宁大连,C0001
202300114,姚子轩,男,蒙古族,共青团员,2005-02-16,19848327217,202300114@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,山东济宁,C0001
202300115,曾嘉懿,女,汉族,共青团员,2005-06-26,15608830606,202300115@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,河北石家庄,C0001
202300116,尹鸿飞,男,汉族,共青团员,2005-01-02,13429697691,202300116@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,山东潍坊,C0001
202300117,刘雅雯,女,汉族,共青团员,2005-03-14,19168327860,202300117@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,辽宁大连,C0001
202300118,孙芳菲,女,汉族,共青团员,2005-11-13,15583868590,202300118@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,河北石家庄,C0001
202300119,沈浩然,男,汉族,群众,2005-02-11,19331085436,202300119@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,河北石家庄,C0001
202300120,石朗峰,男,壮族,共青团员,2005-10-23,17894339250,202300120@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,山东烟台,C0001
202300121,马明哲,男,汉族,共青团员,2005-07-10,15463970815,202300121@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,山东青岛,C0001
202300122,徐书航,男,汉族,群众,2005-07-13,18428934635,202300122@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,山西太原,C0001
202300123,刘映真,女,汉族,共青团员,2005-09-01,19979245072,202300123@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,黑龙江哈尔滨,C0001
202300124,孔启铭,男,汉族,共青团员,2005-11-04,13182999037,202300124@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,山西太原,C0001
202300125,梁静怡,女,汉族,共青团员,2005-07-26,13616457917,202300125@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,山东淄博,C0001
202300126,侯家豪,男,汉族,预备党员,2005-04-11,13803915790,202300126@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,山东济南,C0001
202300127,廖向阳,男,汉族,共青团员,2005-10-21,18065656039,202300127@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,山东济南,C0001
202300128,曹文博,男,汉族,共青团员,2005-04-27,17376193139,202300128@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,山西太原,C0001
202300129,魏书瑶,女,回族,预备党员,2005-02-20,15421166486,202300129@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,河南郑州,C0001
202300130,田佳琪,女,满族,预备党员,2005-07-04,19965434994,202300130@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,辽宁大连,C0001
202300131,方文博,男,满族,共青团员,2005-11-04,13609756232,202300131@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,山东潍坊,C0001
202300132,沈庆丰,男,朝鲜族,预备党员,2005-08-15,19437385689,202300132@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,吉林长春,C0001
202300133,付浩然,男,满族,预备党员,2005-08-25,17751461850,202300133@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,山东济南,C0001
202300134,姚梦洁,女,汉族,共青团员,2005-02-01,18512007451,202300134@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,江苏徐州,C0001
202300135,贺雪晴,女,汉族,共青团员,2005-02-07,19140432692,202300135@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,河南郑州,C0001
202300136,严俊杰,男,壮族,共青团员,2005-04-05,19696850313,202300136@hitwh.edu.cn,2023级,汽车工程学院,车辆工程,车辆2304班,黑龙江哈尔滨,C0001
202300137,钟宇轩,男,满族,共青团员,2005-08-03,18786381809,202300137@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,江苏徐州,C0005
202300138,邱芷若,女,朝鲜族,共青团员,2005-11-04,18709785445,202300138@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,山东潍坊,C0005
202300139,胡书航,男,汉族,中共党员,2005-08-08,15726458984,202300139@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,山西太原,C0005
202300140,白雅雯,女,汉族,共青团员,2005-02-05,13072578402,202300140@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,辽宁大连,C0005
202300141,郑昊天,男,朝鲜族,预备党员,2005-07-14,13126452672,202300141@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,黑龙江哈尔滨,C0005
202300142,苏承宇,男,汉族,共青团员,2005-04-13,19390577558,202300142@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,黑龙江哈尔滨,C0005
202300143,曾向阳,男,汉族,中共党员,2005-04-09,18994785825,202300143@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,山东临沂,C0005
202300144,严庆丰,男,汉族,共青团员,2005-05-16,19980100251,202300144@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,黑龙江哈尔滨,C0005
202300145,沈思远,男,汉族,群众,2005-07-05,19342138711,202300145@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,吉林长春,C0005
202300146,许景行,男,汉族,群众,2005-09-27,19044691484,202300146@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,河南郑州,C0005
202300147,邱致远,男,汉族,共青团员,2005-10-26,13929769446,202300147@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,山东济宁,C0005
202300148,黎博文,男,满族,群众,2005-12-25,15336056927,202300148@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,辽宁大连,C0005
202300149,孟浩然,男,汉族,共青团员,2005-11-27,15660886671,202300149@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,吉林长春,C0005
202300150,江振宇,男,汉族,预备党员,2005-04-24,19365135357,202300150@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,安徽合肥,C0005
202300151,孔俊杰,男,汉族,群众,2005-07-06,19800816831,202300151@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,山东青岛,C0005
202300152,侯立群,男,朝鲜族,中共党员,2005-10-17,18620443844,202300152@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,山东烟台,C0005
202300153,沈沛东,男,满族,共青团员,2005-10-28,13804666543,202300153@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,河北石家庄,C0005
202300154,邱承宇,男,汉族,共青团员,2005-06-18,19122831700,202300154@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,河南郑州,C0005
202300155,方向阳,男,壮族,共青团员,2005-05-03,13371424892,202300155@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,河南郑州,C0005
202300156,田晓萱,女,汉族,共青团员,2005-10-07,17730877177,202300156@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,安徽合肥,C0005
202300157,秦家豪,男,蒙古族,中共党员,2005-07-25,13484730418,202300157@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,山东济南,C0005
202300158,杨云舟,男,满族,群众,2005-02-23,15956804851,202300158@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,辽宁大连,C0005
202300159,龙鸿飞,男,壮族,共青团员,2005-08-07,19011478705,202300159@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,安徽合肥,C0005
202300160,唐书航,男,壮族,群众,2005-03-27,19748327461,202300160@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,江苏徐州,C0005
202300161,程沛东,男,汉族,共青团员,2005-11-25,19233672680,202300161@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,山东济宁,C0005
202300162,钟庆丰,男,汉族,共青团员,2005-08-20,13417066880,202300162@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,安徽合肥,C0005
202300163,黎致远,男,汉族,群众,2005-11-18,13132472781,202300163@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,安徽合肥,C0005
202300164,郭语嫣,女,汉族,共青团员,2005-01-02,13916207270,202300164@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,山东济南,C0005
202300165,彭博文,男,蒙古族,共青团员,2005-08-01,17369209666,202300165@hitwh.edu.cn,2023级,汽车工程学院,能源与动力工程,能动2301班,黑龙江哈尔滨,C0005
